Designator	DISTRIBUTOR	DISTRIBUTOR #	MANUFACTURER	MANUFACTURER #	PART	Quantity	DNI	Comment	Description	PART DESCRIPTION	VALUE	TOLERANCE	EE_SPEC

"C1, C15, C18, C23A, C23B, C23C, C23D, C23E, C36, C47A, C47B, C47C, C47D, C47E, C47F, C47G, C47H, C95, C121A, C121B, C121C, C121D, C121E, C121F, C121G, C121H, C122A, C122B, C122C, C122D, C122E, C122F, C122G, C122H, C199, C202, C203"	"Digi-Key, Digi-Key Electronics, Digikey"	"399-5089-2-ND"	"Kemet"	"C0603C104K5RACTU"	"100nF, 100nF 50V X7R 0603"	"37"	""	"100nF"	"CAP CER 0603 100nF 50V 10% X7R"	"0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric), 0.10µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"	"100nF"	"+/- 10%, 10%"	"100nF 50V X7R 0603, 50V"
"C2, C60A, C60B, C60C, C60D, C60E, C62A, C62B, C62C, C62D, C62E, C67, C78, C91, C100, C105, C106, C149A, C149B, C149C, C149D, C149E, C149F, C149G, C149H, C204, C205, C206, C207, C208, C215, C217"	"DIGI-KEY"	"1276-1013-1-ND"	"Samsung"	"CL03A104KQ3NNNC"	".1uF, [NoParam]"	"32"	""	"100nF"	"CAP CER 0.1UF 6.3V 10% X5R 0201"	""	"[NoParam], 100nF"	"10%"	""
"C3"	""	"TBD"	"TBD"	"TBD"	"TBD"	"1"	"DNI"	"10pF"	"CAP CER 0402 TBD"	"TBD"	"10pF"	""	"50V"
"C4, C5"	"Digikey"	"490-3887-1-ND"	"Murata"	"GRM32ER61A476KE20L"	"47uF"	"2"	""	"47uF"	"CAP CER 47UF 10V X5R 1210"	"47µF ±10% 10V Ceramic Capacitor X5R 1210 (3225 Metric)"	"47uF"	"10%"	"10V, 3mOhm"
"C6, C7"	"Digikey"	"490-1864-1-ND"	"Murata"	"GRM32ER71H475KA88L"	"4.7uF 1210 50V X7R"	"2"	""	"4.7uF"	"CAP CER 4.7UF 50V X7R 1210"	"4.7µF ±10% 50V Ceramic Capacitor X7R 1210 (3225 Metric)"	"4.7uF"	"10%"	"50V"
"C8, C9, C10, C11, C27, C50, C153, C154, C209, C211"	""	""	""	"DNI-C0603TBD"	""	"10"	"DNI"	"C0603TBD"	"Capacitor Non Polarized"	""	"C0603TBD"	""	""
"C12A, C12B, C12C, C12D, C12E, C30A, C30B, C30C, C30D, C30E, C40, C43, C71, C77, C84, C86, C157, C158, C159, C160, C171, C214, C216"	"Digikey, Digi-Key Electronics"	"490-7763-1-ND"	"Murata"	"GRM155R71H103JA88D"	"10nF 50V X7R 0402"	"23"	""	"10nF"	"CAP CER 10nF 50V X7R 0402"	"10000pF ±5% 50V Ceramic Capacitor X7R 0402 (1005 Metric)"	"10nF"	"5%"	"50V"
"C13, C17, C35, C94"	"Digi-Key Electronics"	"490-1303-2-ND"	"Murata"	"GRM155R71H102KA01D"	"1nF 50V X7R 0402"	"4"	""	"1nF"	"1000pF 50V Ceramic Capacitor X7R 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)"	"1000pF ±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric)"	"1nF"	"10%"	"50V"
"C14, C16, C38, C93"	"Digi-Key Electronics"	"490-10756-2-ND"	"Murata"	"490-10756-2-ND"	"CAP CER 10UF 50V X5R 1206"	"4"	""	"10uF"	"CAP CER 10UF 50V 10% X5R 1206"	"10µF ±20% 50V Ceramic Capacitor X5R 1206 (3216 Metric)"	"10uF"	"10%"	"50V"
"C19, C20, C21, C22, C26, C28, C29, C31, C33, C39, C44, C45, C46, C51, C52, C54, C56, C63, C65, C66, C68, C69, C73, C76, C80, C81, C82, C92, C103, C155, C156, C161, C162, C164, C165, C166, C167, C169, C200, C201, C212, C213"	"Digi-Key Electronics, Digikey, Digi-Key"	"490-3261-2-ND"	"Murata"	"GRM155R71C104KA88D"	"0.1uF 16V X7R 0402, 100nF"	"42"	""	"100nF"	"CAP CER 0402 100nF 16V 10% X7R"	"0.10µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"	"100nF"	"10%, +/- 10%"	"100nF 16V X7R 0402, 16V"
"C24, C32, C34"	"Digi-Key Electronics"	"490-1320-2-ND"	"Murata"	"GRM155R60J105KE19D"	"1uF 6.3V X5R 0402"	"3"	""	"1uF"	"CAP CER 0402 1uF 6.3V 10% X5R"	"1µF ±10% 6.3V Ceramic Capacitor X5R 0402 (1005 Metric)"	"1uF"	"10%"	"1uF 6.3V X5R 0402"
"C25, C210"	"Digi-Key Electronics"	"493-2203-2-ND"	"Nichicon"	"UWT1V101MCL1GS"	"100uF 35V SMD Al-El"	"2"	""	"UWT1V101MCL1GS"	"CAP ALUM 100UF 35V 20% SMD"	"100µF 35V Aluminum Capacitors Radial, Can - SMD 1000 Hrs @ 105°C"	"100uF"	"20%"	"100uF 35V Al-El"
"C37, C53, C55, C57, C70, C72"	"Digi-Key Electronics"	"445-11185-1-ND"	"TDK"	"C1608JB0J106K080AB"	"10µF ±10% 6.3V Ceramic Capacitor JB 0603 (1608 Metric)"	"6"	""	"0603"	"CAP CER 10UF 6.3V 10% JB 0603"	"CAP CER 10UF 6.3V 10% JB 0603"	"10uF 6.3VDC, 10uF"	"10%"	"6.3VDC"
"C41, C42"	"Digi-Key Electronics"	"1276-2125-2-ND"	"Samsung"	"CL10C030BB8NNNC"	"3pF 50V NP0 0603"	"2"	""	"3pF"	"CAP CER 3PF 50V NP0 0603"	"3pF ±0.1pF 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"	"3pF"	"+/- 0.1pF"	"50V"
"C48A, C48B, C48C, C48D, C48E, C48F, C48G, C48H, C59A, C59B, C59C, C59D, C59E, C59F, C59G, C59H, C98A, C98B, C98C, C98D, C98E, C98F, C98G, C98H, C99A, C99B, C99C, C99D, C99E, C99F, C99G, C99H"	""	""	"TDK"	"CGA3E3X7R1H224K080AB"	""	"32"	""	"220nF"	"CAP CER 0.22UF 50V X7R 0603"	"0.22µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"	"220nF"	""	"50V X7R"
"C49"	"Digi-Key Electronics"	"1276-1139-2-ND"	"Samsung"	"CL05C100JB5NNNC"	"10pF 50V NP0 0402"	"1"	""	"0402"	"CAP CER 10PF 50V 5% NP0 0402"	"10pF ±5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)"	"10pF"	"5%"	"50V"
"C58A, C58B, C58C, C58D, C58E, C58F, C58G, C58H, C96A, C96B, C96C, C96D, C96E, C96F, C96G, C96H, C97A, C97B, C97C, C97D, C97E, C97F, C97G, C97H, C123A, C123B, C123C, C123D, C123E, C123F, C123G, C123H"	"Digi-Key"	"399-1082-2-ND"	"Kemet"	"C0603C102K5RACTU"	"1nF"	"32"	""	"1nF"	"CAP CER 0603  1nF 50v 10% X7R"	"1000pF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"	"1nF"	"+/- 10%"	"1nF 50V X7R 0603"
"C61A, C61B, C61C, C61D, C61E, C61F, C61G, C61H, C125A, C125B, C125C, C125D, C125E, C125F, C125G, C125H"	"Digikey"	"399-5507-2-ND"	"Kemet"	"C1206C475K5PACTU"	"4.7uF 50V X5R 1206"	"16"	""	"4.7uF"	"CAP CER 1206 4.7uF 50V 10% X5R"	"4.7µF ±10% 50V Ceramic Capacitor X5R 1206 (3216 Metric)"	"4.7uF"	"10%"	"50V"
"C64, C74, C75, C79, C83, C85, C87, C88, C89, C90, C101, C102, C104"	""	"TBD"	"TBD"	"TBD"	"TBD"	"13"	""	"TBD"	"CAP CER 0402 TBD"	"TBD"	"TBD"	""	"TBD"
"C124A, C124B, C124C, C124D, C124E, C124F, C124G, C124H"	""	""	"Kemet"	"C0603C223K1RACTU"	""	"8"	""	"22nF"	"CAP CER 0.022UF 100V X7R 0603"	"0.022µF ±10% 100V Ceramic Capacitor X7R 0603 (1608 Metric)"	"22nF"	""	"100 X7R"
"C131A, C131B, C131C, C131D, C131E, C131F, C131G, C131H"	"Digikey"	"1276-2087-2-ND"	"Samsung"	"CL10B475KQ8NQNC"	"4.7uF"	"8"	""	"4.7uF 6.3V 0603"	"CAP CER 4.7UF 6.3V X7R 0603"	"4.7µF ±10% 6.3V Ceramic Capacitor X7R 0603 (1608 Metric)"	"4.7uF"	"10%"	"6.3V"
"C132A, C132B, C132C, C132D, C132E, C132F, C132G, C132H"	"Digikey"	"490-3266-2-ND"	"Murata"	"GRM155R60J474KE19D"	"0.47uF 6.3V X5R 0402"	"8"	""	"0402"	"470nF 6.3v C0402 - GRM155R60J474KE19D"	"470nF ±10% 6.3V Ceramic Capacitor X5R 0402 (1005 Metric)"	"470nF"	"10%"	"6.3V"
