Altium Designer Pick and Place Locations
C:\Users\Johnny\Documents\Projects\Archimajor\Project Outputs\Archimajor_projectVersion_PickPlace.csv

========================================================================================================================
File Design Information:

Date:       12/02/19
Time:       20:56
Revision:   4be6f40001d0da490415bfac28c87df4fd4403f1
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description","Ref-X(mil)","Ref-Y(mil)"
"D78","SMAJ24A","TopLayer","SMA-SM","6418.591","3482.802","270","TVS DIODE 24V 38.9V SMA","6390.540","3468.660"
"C106","100nF","TopLayer","C0201_Large_Pads","3916.059","2959.621","90","CAP CER 0.1UF 6.3V 10% X5R 0201","3916.059","2959.621"
"D77","BAT54","TopLayer","SOD523_IPC","336.334","2458.637","90","DIODE SCHOTTKY 30V 200MA SOD523","336.334","2458.637"
"C105","100nF","TopLayer","C0201_Large_Pads","2474.129","2572.810","360","CAP CER 0.1UF 6.3V 10% X5R 0201","2474.129","2572.810"
"C104","TBD","TopLayer","C0402","2706.413","2318.874","360","CAP CER 0402 TBD","2706.413","2318.873"
"C102","TBD","TopLayer","C0402","2627.673","2359.228","360","CAP CER 0402 TBD","2627.673","2359.228"
"C101","TBD","TopLayer","C0402","2648.342","2419.090","90","CAP CER 0402 TBD","2648.342","2419.090"
"R103","0R","TopLayer","R0603","5184.759","2585.606","180","RES SMD 0.0OHM JUMPER 1/10W 0603","5184.759","2585.606"
"C100","100nF","TopLayer","C0201_Large_Pads","3513.723","2954.700","180","CAP CER 0.1UF 6.3V 10% X5R 0201","3513.723","2954.700"
"C92","100nF","TopLayer","C0402","3576.491","3251.944","90","CAP CER 0402 100nF 16V 10% X7R","3576.492","3251.944"
"R100","10K","TopLayer","R0402","997.751","2130.932","90","RES SMD 10K OHM 1% 1/16W 0402","997.751","2130.881"
"R97","10K","TopLayer","R0402","5150.310","2328.665","270","RES SMD 10K OHM 1% 1/16W 0402","5150.310","2328.716"
"R95","10K","TopLayer","R0402","2516.334","4160.358","270","RES SMD 10K OHM 1% 1/16W 0402","2516.334","4160.409"
"U14","74AVC9112","TopLayer","XSON50P100X50-8L","2764.508","2420.956","270","Clock Fanout Buffer (Distribution) IC 1:4  8-XFDFN","2764.508","2420.956"
"J2B","43045-0412","TopLayer","43045-0412","1443.913","216.732","180","Conn - 3mm Pitch Fixed","1443.913","235.236"
"J2A","43045-0412","TopLayer","43045-0412","626.000","216.732","180","Conn - 3mm Pitch Fixed","626.000","235.236"
"U17","SN74LVC125A","TopLayer","PVQFN14_3.5X3.5","3092.520","2364.173","270","IC BUS BUFF TRI-ST QD 14VQFN","3092.520","2364.173"
"U16","SN74LVC125A","TopLayer","PVQFN14_3.5X3.5","2434.759","2363.165","270","IC BUS BUFF TRI-ST QD 14VQFN","2434.759","2363.165"
"R94","47R","TopLayer","R0402","2318.617","2555.830","270","RES 47 OHM 1% 1/16W 0402","2318.617","2555.881"
"R93","47R","TopLayer","R0402","3212.318","2402.484","270","RES 47 OHM 1% 1/16W 0402","3212.318","2402.535"
"R89","47R","TopLayer","R0402","3060.427","2248.280","180","RES 47 OHM 1% 1/16W 0402","3060.478","2248.280"
"R88E","47R","TopLayer","R0402","4250.456","3974.385","360","RES 47 OHM 1% 1/16W 0402","4250.405","3974.385"
"R88D","47R","TopLayer","R0402","3873.458","3974.385","360","RES 47 OHM 1% 1/16W 0402","3873.407","3974.385"
"R88C","47R","TopLayer","R0402","3496.460","3974.385","360","RES 47 OHM 1% 1/16W 0402","3496.409","3974.385"
"R88B","47R","TopLayer","R0402","3119.462","3974.385","360","RES 47 OHM 1% 1/16W 0402","3119.411","3974.385"
"R88A","47R","TopLayer","R0402","2742.464","3974.385","360","RES 47 OHM 1% 1/16W 0402","2742.413","3974.385"
"R86H","47R","TopLayer","R0402","6421.225","2206.693","180","RES 47 OHM 1% 1/16W 0402","6421.276","2206.693"
"R86G","47R","TopLayer","R0402","5608.225","2206.693","180","RES 47 OHM 1% 1/16W 0402","5608.276","2206.693"
"R86F","47R","TopLayer","R0402","4795.225","2206.693","180","RES 47 OHM 1% 1/16W 0402","4795.276","2206.693"
"R86E","47R","TopLayer","R0402","3974.669","2203.716","180","RES 47 OHM 1% 1/16W 0402","3974.720","2203.716"
"R86D","47R","TopLayer","R0402","3159.398","2206.693","180","RES 47 OHM 1% 1/16W 0402","3159.449","2206.693"
"R86C","47R","TopLayer","R0402","2338.843","2207.652","180","RES 47 OHM 1% 1/16W 0402","2338.894","2207.652"
"R86B","47R","TopLayer","R0402","1523.571","2206.693","180","RES 47 OHM 1% 1/16W 0402","1523.622","2206.693"
"R86A","47R","TopLayer","R0402","705.658","2206.693","180","RES 47 OHM 1% 1/16W 0402","705.709","2206.693"
"R84","47R","TopLayer","R0402","2984.252","2413.335","270","RES 47 OHM 1% 1/16W 0402","2984.252","2413.386"
"R66","10K","TopLayer","R0402","2337.267","2650.566","180","RES SMD 10K OHM 1% 1/16W 0402","2337.318","2650.566"
"R60","R0402TBD","TopLayer","R0402","2337.267","2691.905","180","Resistor","2337.318","2691.905"
"R59","47R","TopLayer","R0402","2984.252","2309.791","270","RES 47 OHM 1% 1/16W 0402","2984.252","2309.842"
"R32","47R","TopLayer","R0402","2824.523","2338.610","90","RES 47 OHM 1% 1/16W 0402","2824.523","2338.559"
"R13","47R","TopLayer","R0402","2783.184","2338.610","90","RES 47 OHM 1% 1/16W 0402","2783.184","2338.559"
"R4","47R","TopLayer","R0402","2722.409","2357.259","360","RES 47 OHM 1% 1/16W 0402","2722.358","2357.259"
"R3","47R","TopLayer","R0402","2690.665","2419.318","90","RES 47 OHM 1% 1/16W 0402","2690.665","2419.267"
"D76","BAT54","TopLayer","SOD523_IPC","3314.680","2228.322","180","DIODE SCHOTTKY 30V 200MA SOD523","3314.680","2228.322"
"D75","BAT54","TopLayer","SOD523_IPC","2491.820","2221.410","180","DIODE SCHOTTKY 30V 200MA SOD523","2491.820","2221.410"
"D74","BAT54","TopLayer","SOD523_IPC","1677.000","2214.350","360","DIODE SCHOTTKY 30V 200MA SOD523","1677.000","2214.350"
"D70","BAT54","TopLayer","SOD523_IPC","950.770","2202.790","360","DIODE SCHOTTKY 30V 200MA SOD523","950.770","2202.790"
"D63","BAT54","TopLayer","SOD523_IPC","6595.190","2204.720","180","DIODE SCHOTTKY 30V 200MA SOD523","6595.190","2204.720"
"D62","BAT54","TopLayer","SOD523_IPC","4024.208","4031.472","90","DIODE SCHOTTKY 30V 200MA SOD523","4024.208","4031.472"
"D61","BAT54","TopLayer","SOD523_IPC","2516.334","4071.826","90","DIODE SCHOTTKY 30V 200MA SOD523","2516.334","4071.826"
"D60","BAT54","TopLayer","SOD523_IPC","4218.120","2201.510","360","DIODE SCHOTTKY 30V 200MA SOD523","4218.120","2201.510"
"D41","BAT54","TopLayer","SOD523_IPC","5852.600","2169.080","360","DIODE SCHOTTKY 30V 200MA SOD523","5852.600","2169.080"
"D40","BAT54","TopLayer","SOD523_IPC","5040.660","2182.890","360","DIODE SCHOTTKY 30V 200MA SOD523","5040.660","2182.890"
"D31","BAT54","TopLayer","SOD523_IPC","3275.192","4020.645","90","DIODE SCHOTTKY 30V 200MA SOD523","3275.192","4020.645"
"D30","BAT54","TopLayer","SOD523_IPC","2896.255","4031.472","90","DIODE SCHOTTKY 30V 200MA SOD523","2896.255","4031.472"
"D5","BAT54","TopLayer","SOD523_IPC","3649.208","4028.519","90","DIODE SCHOTTKY 30V 200MA SOD523","3649.208","4028.519"
"C91","100nF","TopLayer","C0201_Large_Pads","3077.476","2466.511","360","CAP CER 0.1UF 6.3V 10% X5R 0201","3077.476","2466.511"
"C90","TBD","TopLayer","C0402","3253.657","2402.535","270","CAP CER 0402 TBD","3253.657","2402.535"
"C89","TBD","TopLayer","C0402","3248.735","2319.858","90","CAP CER 0402 TBD","3248.736","2319.858"
"C88","TBD","TopLayer","C0402","2943.617","2310.015","90","CAP CER 0402 TBD","2943.617","2310.015"
"C87","TBD","TopLayer","C0402","2550.901","2304.110","270","CAP CER 0402 TBD","2550.901","2304.110"
"C85","TBD","TopLayer","C0402","2884.562","2346.432","180","CAP CER 0402 TBD","2884.562","2346.432"
"C83","TBD","TopLayer","C0402","2944.602","2413.362","270","CAP CER 0402 TBD","2944.602","2413.362"
"C79","TBD","TopLayer","C0402","2399.326","2685.015","270","CAP CER 0402 TBD","2399.326","2685.015"
"C78","100nF","TopLayer","C0201_Large_Pads","2465.271","2466.511","360","CAP CER 0.1UF 6.3V 10% X5R 0201","2465.271","2466.511"
"C75","TBD","TopLayer","C0402","2327.476","2319.858","270","CAP CER 0402 TBD","2327.476","2319.858"
"C74","TBD","TopLayer","C0402","2379.641","2587.574","360","CAP CER 0402 TBD","2379.641","2587.574"
"C64","TBD","TopLayer","C0402","2324.523","2813.952","180","CAP CER 0402 TBD","2324.523","2813.952"
"C67","100nF","TopLayer","C0201_Large_Pads","2828.460","2421.236","90","CAP CER 0.1UF 6.3V 10% X5R 0201","2828.460","2421.236"
"FD4","FIDUCIAL","TopLayer","FIDUCIAL-1X2","3499.016","401.575","180","","3499.016","401.575"
