time	V(min_es)	V(n001)	Ix(D1:-)
0.000000000000000e+000	4.058707e+000	4.066294e+000	4.127932e-007
9.765624960978488e-015	4.058707e+000	4.066294e+000	4.127934e-007
1.953124992195698e-014	4.058707e+000	4.066294e+000	4.127935e-007
1.000000000000000e-008	4.058707e+000	4.066294e+000	4.127891e-007
1.000000010000000e-008	4.058707e+000	4.066294e+000	4.130346e-007
1.000000039261000e-008	4.058707e+000	4.066294e+000	4.135532e-007
1.000000045591252e-008	4.058707e+000	4.070688e+000	8.770857e-003
1.000000050142285e-008	4.058707e+000	4.077713e+000	2.279184e-002
1.000000054484066e-008	4.058707e+000	4.081401e+000	3.015335e-002
1.000008021377830e-008	4.058774e+000	4.082671e+000	3.255199e-002
1.000015988271593e-008	4.058818e+000	4.083948e+000	3.495028e-002
1.000023955165356e-008	4.058840e+000	4.085232e+000	3.734822e-002
1.000031922059120e-008	4.058839e+000	4.086522e+000	3.974579e-002
1.000039888952883e-008	4.058816e+000	4.087820e+000	4.214302e-002
1.000047855846646e-008	4.058771e+000	4.089123e+000	4.453988e-002
1.000055822740409e-008	4.058703e+000	4.090434e+000	4.693639e-002
1.000111548882073e-008	4.058717e+000	4.099783e+000	6.369045e-002
1.000223001165399e-008	4.058747e+000	4.119445e+000	9.714971e-002
1.000445905732051e-008	4.058740e+000	4.162608e+000	1.638729e-001
1.000891714865356e-008	4.058772e+000	4.261874e+000	2.966625e-001
1.001520033081915e-008	4.058807e+000	4.429121e+000	4.824389e-001
1.002322357614025e-008	4.058871e+000	4.697330e+000	7.169862e-001
1.003660370081681e-008	4.058977e+000	5.209182e+000	1.101946e+000
1.005424696846261e-008	4.059112e+000	5.860022e+000	1.601874e+000
1.005802029671935e-008	4.059129e+000	5.970511e+000	1.707186e+000
1.006556695323282e-008	4.059151e+000	6.140422e+000	1.914647e+000
1.008066026625976e-008	4.059211e+000	6.439693e+000	2.322283e+000
1.010570910138750e-008	4.059298e+000	6.854213e+000	2.975909e+000
1.015477635186896e-008	4.059445e+000	7.529250e+000	4.194049e+000
1.020284441634743e-008	4.059576e+000	8.096074e+000	5.300852e+000
1.028362261689810e-008	4.059776e+000	8.920763e+000	6.964432e+000
1.039568273108679e-008	4.060026e+000	9.866933e+000	8.882440e+000
1.061980295946416e-008	4.060448e+000	1.122533e+001	1.163955e+001
1.096064326833694e-008	4.060954e+000	1.242511e+001	1.406615e+001
1.129354877400261e-008	4.061314e+000	1.281422e+001	1.483174e+001
1.167136146457221e-008	4.061595e+000	1.259890e+001	1.435198e+001
1.204845172907969e-008	4.061789e+000	1.201989e+001	1.312852e+001
1.247957493635865e-008	4.061946e+000	1.118863e+001	1.138916e+001
1.291993329260087e-008	4.062076e+000	1.036535e+001	9.675274e+000
1.342108129629564e-008	4.062215e+000	9.574824e+000	8.036357e+000
1.376991072637419e-008	4.062318e+000	9.151282e+000	7.161667e+000
1.403076613679363e-008	4.062403e+000	8.921114e+000	6.688268e+000
1.426410004695959e-008	4.062485e+000	8.774101e+000	6.387187e+000
1.450508212068733e-008	4.062577e+000	8.673550e+000	6.182515e+000
1.481012709509563e-008	4.062702e+000	8.601548e+000	6.037752e+000
1.505076608498776e-008	4.062807e+000	8.580868e+000	5.998098e+000
1.526013373383345e-008	4.062903e+000	8.588373e+000	6.016129e+000
1.547580790425671e-008	4.063006e+000	8.616235e+000	6.076088e+000
1.577072697407878e-008	4.063153e+000	8.676722e+000	6.204013e+000
1.643808849968655e-008	4.063506e+000	8.869960e+000	6.608687e+000
1.761702671815455e-008	4.064173e+000	9.259458e+000	7.419707e+000
1.857868565529482e-008	4.064740e+000	9.533361e+000	7.988873e+000
1.949953753879251e-008	4.065294e+000	9.739820e+000	8.417714e+000
2.031428972572990e-008	4.065791e+000	9.872520e+000	8.693439e+000
